index,Sex,Age,Profession/job,Education level (recoded),Scale of incomes,Social class (subjective),Country_Code
75,Male,21,Never had a job,Middle,Don´t know,Lower class,Montenegro
76,Male,62,Skilled manual,Upper,Seventh step,Lower class,Montenegro
77,Female,21,Never had a job,Upper,Fifth step,Working class,Montenegro
78,Male,56,Supervisory Non manual -office worker,Upper,Eigth step,Working class,Montenegro
79,Female,52,Non manual -office worker,Upper,Eigth step,Lower middle class,Montenegro
80,Female,29,Never had a job,Middle,Third step,Working class,Montenegro
81,Female,62,Never had a job,Middle,second step,Working class,Montenegro
82,Male,25,Professional worker,Upper,Eigth step,Working class,Montenegro
83,Male,45,Employer/manager of establishment with less than 10 employed,Upper,Tenth step,Lower middle class,Montenegro
84,Male,56,Unskilled manual,Don´t know,Fifth step,Working class,Montenegro
85,Female,71,Never had a job,Lower,Lower step,Lower class,Montenegro
86,Female,38,Non manual -office worker,Middle,Eigth step,Lower middle class,Montenegro
87,Male,62,Skilled manual,Upper,Seventh step,Lower middle class,Montenegro
88,Female,23,Non manual -office worker,Middle,second step,Working class,Montenegro
89,Male,21,Semi-skilled manual worker,Upper,Tenth step,Working class,Montenegro
90,Female,26,Professional worker,Upper,Lower step,Don´t know,Montenegro
91,Male,39,Skilled manual,Upper,Nineth step,Working class,Montenegro
92,Male,37,Employer/manager of establishment with less than 10 employed,Upper,Nineth step,Lower middle class,Montenegro
93,Female,33,Professional worker,Upper,Fifth step,Working class,Montenegro
94,Female,41,Non manual -office worker,Upper,Don´t know,Working class,Montenegro
95,Female,62,Skilled manual,Upper,Fifth step,Don´t know,Montenegro
96,Male,39,Employer/manager of establishment with less than 10 employed,Upper,Tenth step,Upper middle class,Montenegro
97,Male,67,Employer/manager of establishment with less than 10 employed,Upper,Nineth step,Lower middle class,Montenegro
98,Male,30,Unskilled manual,Middle,Fifth step,Working class,Montenegro
99,Male,71,Semi-skilled manual worker,Middle,Third step,Working class,Montenegro
0,Female,48,Not asked,Lower,Third step,Working class,Morocco
1,Male,34,Non manual -office worker,Middle,Sixth step,Lower middle class,Morocco
2,Female,45,Not asked,Upper,Sixth step,Lower middle class,Morocco
3,Female,23,Not applicable,Middle,Fifth step,Working class,Morocco
4,Male,34,Skilled manual,Lower,Sixth step,Lower middle class,Morocco
5,Male,41,Not asked,Middle,Sixth step,Upper middle class,Morocco
6,Male,51,Semi-skilled manual worker,Lower,Fifth step,Lower middle class,Morocco
7,Male,21,Non manual -office worker,Upper,Lower step,Working class,Morocco
8,Female,23,Not asked,Upper,Fifth step,Working class,Morocco
9,Female,46,Never had a job,Lower,Third step,Lower class,Morocco
10,Male,29,Unskilled manual,Upper,Fifth step,Working class,Morocco
11,Male,36,Unskilled manual,Lower,Third step,Lower middle class,Morocco
12,Female,37,Unskilled manual,Lower,Fourth step,Working class,Morocco
13,Male,18,Not asked,Middle,Don´t know,Lower middle class,Morocco
14,Male,28,Employer/manager of establishment with less than 10 employed,Lower,Seventh step,Lower middle class,Morocco
15,Female,28,Not asked,Lower,Sixth step,Working class,Morocco
16,Male,54,Not asked,Upper,Third step,Working class,Morocco
17,Male,33,Not asked,Lower,Fifth step,Lower class,Morocco
18,Male,35,Farmer: has own farm,Lower,Third step,Lower class,Morocco
19,Female,58,Not asked,Lower,Lower step,Lower class,Morocco
20,Female,42,Professional worker,Upper,Seventh step,Lower middle class,Morocco
21,Female,21,Not asked,Middle,Fifth step,Lower middle class,Morocco
22,Female,43,Not asked,Lower,Third step,Lower middle class,Morocco
23,Male,25,Unskilled manual,Lower,Don´t know,Working class,Morocco
24,Female,27,Not asked,Middle,Seventh step,Upper middle class,Morocco
25,Male,22,Never had a job,Upper,Sixth step,Lower middle class,Morocco
26,Male,24,Unskilled manual,Lower,Don´t know,Lower class,Morocco
27,Male,22,Skilled manual,Lower,Fourth step,Lower middle class,Morocco
28,Male,32,Semi-skilled manual worker,Lower,Fifth step,Working class,Morocco
29,Male,47,Not asked,Lower,No answer,Don´t know,Morocco
30,Male,52,Unskilled manual,Lower,Fourth step,Working class,Morocco
31,Female,33,Not asked,Lower,Fourth step,Lower middle class,Morocco
32,Male,31,Professional worker,Upper,Lower step,Lower middle class,Morocco
33,Male,30,Unskilled manual,Lower,Fifth step,Working class,Morocco
34,Female,27,Non manual -office worker,Middle,Fourth step,Lower middle class,Morocco
35,Female,28,Non manual -office worker,Middle,Sixth step,Lower middle class,Morocco
36,Male,19,Not asked,Lower,Sixth step,Lower middle class,Morocco
37,Female,43,Not asked,Lower,Third step,Lower middle class,Morocco
38,Male,32,Not asked,Lower,Sixth step,Working class,Morocco
39,Female,38,Professional worker,Lower,Eigth step,Upper middle class,Morocco
40,Female,21,Not asked,Middle,Sixth step,Lower middle class,Morocco
41,Female,41,Not asked,Lower,Sixth step,Lower middle class,Morocco
42,Male,33,Not asked,Upper,Sixth step,Lower middle class,Morocco
43,Female,33,Unskilled manual,Lower,Fifth step,Working class,Morocco
44,Male,66,Not asked,Lower,Seventh step,Lower middle class,Morocco
45,Male,44,Employer/manager of establishment with less than 10 employed,Lower,Fourth step,Working class,Morocco
46,Male,38,Unskilled manual,Lower,Fifth step,Working class,Morocco
47,Male,35,Not asked,Middle,Fourth step,Lower class,Morocco
48,Female,55,Not asked,Lower,Fourth step,Lower class,Morocco
49,Male,36,Unskilled manual,Lower,Third step,Working class,Morocco
50,Female,32,Professional worker,Lower,Lower step,Lower class,Morocco
51,Female,20,Not asked,Middle,Fourth step,Lower middle class,Morocco
52,Male,29,Unskilled manual,Lower,Fifth step,Working class,Morocco
53,Male,38,Farmer: has own farm,Lower,Third step,Working class,Morocco
54,Male,31,Not asked,Lower,Fourth step,Lower middle class,Morocco
55,Female,21,Not asked,Upper,Sixth step,Lower middle class,Morocco
56,Male,65,No answer,Lower,Fifth step,Working class,Morocco
57,Female,28,Non manual -office worker,Middle,Fourth step,Lower middle class,Morocco
58,Female,39,Never had a job,Lower,Don´t know,Lower class,Morocco
59,Female,27,Non manual -office worker,Upper,Seventh step,Upper middle class,Morocco
60,Male,18,Never had a job,Middle,Third step,Lower class,Morocco
61,Female,29,Not asked,Middle,Fifth step,Lower middle class,Morocco
62,Female,26,Not asked,Upper,Fourth step,Lower middle class,Morocco
63,Male,43,Not asked,Lower,Sixth step,Working class,Morocco
64,Female,19,Not asked,Middle,Sixth step,Lower middle class,Morocco
65,Female,21,Unskilled manual,Lower,Lower step,Working class,Morocco
66,Female,44,Non manual -office worker,Lower,second step,Lower class,Morocco
67,Female,57,Not asked,Lower,Fourth step,Working class,Morocco
68,Male,41,Unskilled manual,Upper,Eigth step,Lower middle class,Morocco
69,Female,49,No answer,Middle,Sixth step,Lower middle class,Morocco
70,Female,32,Not asked,Upper,Fourth step,Upper middle class,Morocco
71,Male,42,Agricultural worker,Lower,Fifth step,Working class,Morocco
72,Female,18,Skilled manual,Lower,Don´t know,Lower class,Morocco
73,Female,33,Not asked,Upper,Third step,Lower middle class,Morocco
74,Female,24,Unskilled manual,Lower,Fifth step,Working class,Morocco
75,Male,26,Not asked,Lower,second step,Working class,Morocco
76,Male,25,Foreman and supervisor,Upper,Don´t know,Lower middle class,Morocco
77,Female,24,Semi-skilled manual worker,Lower,Fifth step,Working class,Morocco
78,Male,22,Supervisory Non manual -office worker,Middle,Third step,Lower middle class,Morocco
79,Female,56,Not asked,Lower,Sixth step,Upper middle class,Morocco
80,Female,22,Not asked,Lower,Fourth step,Lower middle class,Morocco
81,Male,19,Not asked,Middle,Fifth step,Working class,Morocco
82,Female,27,Unskilled manual,Lower,second step,Working class,Morocco
83,Female,31,Non manual -office worker,Lower,second step,Lower class,Morocco
84,Female,22,Not asked,Middle,Eigth step,Upper middle class,Morocco
85,Female,31,Unskilled manual,Lower,Fifth step,Working class,Morocco
86,Male,23,Never had a job,Upper,Don´t know,Lower middle class,Morocco
87,Male,26,Not asked,Lower,Fifth step,Working class,Morocco
88,Female,54,Never had a job,Lower,Third step,Don´t know,Morocco
89,Female,45,Never had a job,Lower,Don´t know,Lower middle class,Morocco
90,Female,31,Not asked,Lower,Sixth step,Working class,Morocco
91,Female,57,Don't know,Lower,second step,Lower class,Morocco
92,Female,21,Not asked,Lower,Fifth step,Working class,Morocco
93,Female,47,Not asked,Lower,Third step,Working class,Morocco
94,Male,43,Non manual -office worker,Middle,Fifth step,Lower middle class,Morocco
95,Female,32,Not asked,Middle,Sixth step,Lower middle class,Morocco
96,Male,18,Semi-skilled manual worker,Lower,Fourth step,Lower class,Morocco
97,Male,27,Skilled manual,Middle,Fourth step,Lower class,Morocco
98,Male,55,Semi-skilled manual worker,Lower,Fifth step,Working class,Morocco
99,Female,22,Unskilled manual,Lower,Fifth step,Working class,Morocco
0,Male,45,Not asked,Lower,Third step,Working class,Myanmar
1,Female,42,Not asked,Upper,Fifth step,Upper middle class,Myanmar
2,Male,32,Not asked,Middle,Seventh step,Upper middle class,Myanmar
3,Female,18,Not asked,Lower,Sixth step,Lower middle class,Myanmar
4,Female,19,Not asked,Lower,Third step,Lower middle class,Myanmar
5,Female,50,Not asked,Middle,Fifth step,Upper middle class,Myanmar
6,Female,35,Not asked,Lower,second step,Working class,Myanmar
7,Female,32,Not asked,Lower,Fourth step,Working class,Myanmar
8,Female,32,Not asked,Lower,Sixth step,Upper middle class,Myanmar
9,Female,19,Not asked,Lower,Sixth step,Working class,Myanmar
10,Male,52,Not asked,Lower,Lower step,Working class,Myanmar
11,Female,34,Not asked,Upper,Fifth step,Working class,Myanmar
12,Male,52,Not asked,Lower,Sixth step,Lower middle class,Myanmar
13,Male,60,Not asked,Lower,Fourth step,Working class,Myanmar
14,Female,57,Not asked,Lower,Eigth step,Upper middle class,Myanmar
15,Female,37,Not asked,Lower,Fifth step,Working class,Myanmar
16,Male,19,Not asked,Upper,Lower step,Working class,Myanmar
17,Female,27,Not asked,Lower,Fifth step,Upper middle class,Myanmar
18,Male,31,Not asked,Upper,Seventh step,Upper middle class,Myanmar
19,Female,26,Not asked,Lower,Sixth step,Upper middle class,Myanmar
20,Female,36,Not asked,Upper,Fifth step,Upper middle class,Myanmar
21,Male,30,Not asked,Lower,Lower step,Upper middle class,Myanmar
22,Male,39,Not asked,Lower,Fifth step,Working class,Myanmar
23,Male,30,Not asked,Middle,Eigth step,Upper middle class,Myanmar
24,Female,52,Not asked,Lower,Fifth step,Upper middle class,Myanmar
25,Male,47,Not asked,Lower,Sixth step,Lower middle class,Myanmar
26,Male,52,Not asked,Lower,Lower step,Working class,Myanmar
27,Female,35,Not asked,Upper,Eigth step,Working class,Myanmar
28,Male,23,Not asked,Middle,Fifth step,Working class,Myanmar
29,Female,34,Not asked,Upper,Fifth step,Working class,Myanmar
30,Male,42,Not asked,Lower,Fifth step,Lower middle class,Myanmar
31,Male,43,Not asked,Lower,Third step,Working class,Myanmar
32,Male,33,Not asked,Lower,Third step,Upper middle class,Myanmar
33,Male,51,Not asked,Middle,Lower step,Working class,Myanmar
34,Male,53,Not asked,Lower,Fifth step,Lower middle class,Myanmar
35,Male,35,Not asked,Lower,Fifth step,Lower middle class,Myanmar
36,Male,52,Not asked,Upper,Fourth step,Lower middle class,Myanmar
37,Male,48,Not asked,Lower,Tenth step,Working class,Myanmar
38,Male,52,Not asked,Lower,Sixth step,Working class,Myanmar
39,Female,23,Not asked,Lower,Fifth step,Working class,Myanmar
40,Male,41,Not asked,Middle,Lower step,Working class,Myanmar
41,Female,60,Not asked,Lower,Fifth step,Working class,Myanmar
42,Male,43,Not asked,Middle,Lower step,Upper middle class,Myanmar
43,Male,40,Not asked,Lower,second step,Lower class,Myanmar
44,Female,41,Not asked,Lower,Third step,Working class,Myanmar
45,Male,52,Not asked,Lower,Fifth step,Working class,Myanmar
46,Male,56,Not asked,Lower,Fifth step,Lower middle class,Myanmar
47,Male,30,Not asked,Middle,Eigth step,Upper middle class,Myanmar
48,Male,52,Not asked,Middle,Sixth step,Working class,Myanmar
49,Male,59,Not asked,Lower,Sixth step,Working class,Myanmar
50,Female,28,Not asked,Upper,Eigth step,Working class,Myanmar
51,Female,31,Not asked,Upper,Fifth step,Working class,Myanmar
52,Male,44,Not asked,Middle,Third step,Upper middle class,Myanmar
53,Male,45,Not asked,Lower,Fifth step,Lower middle class,Myanmar
54,Male,35,Not asked,Upper,Sixth step,Lower middle class,Myanmar
55,Male,24,Not asked,Upper,Fourth step,Lower middle class,Myanmar
56,Male,47,Not asked,Lower,Lower step,Working class,Myanmar
57,Female,32,Not asked,Lower,Fourth step,Working class,Myanmar
58,Female,22,Not asked,Middle,Eigth step,Upper middle class,Myanmar
59,Male,27,Not asked,Lower,Eigth step,Lower middle class,Myanmar
60,Female,30,Not asked,Lower,Third step,Working class,Myanmar
61,Male,59,Not asked,Lower,Third step,Lower middle class,Myanmar
62,Male,45,Not asked,Lower,Fifth step,Working class,Myanmar
63,Female,43,Not asked,Lower,Third step,Working class,Myanmar
64,Female,36,Not asked,Upper,Sixth step,Upper middle class,Myanmar
65,Male,36,Not asked,Lower,Third step,Working class,Myanmar
66,Female,43,Not asked,Upper,Fifth step,Upper middle class,Myanmar
67,Male,37,Not asked,Lower,Fifth step,Working class,Myanmar
68,Male,58,Not asked,Lower,second step,Lower middle class,Myanmar
69,Female,52,Not asked,Lower,Fourth step,Lower middle class,Myanmar
70,Male,49,Not asked,Lower,Fifth step,Lower middle class,Myanmar
71,Male,64,Not asked,Lower,Sixth step,Lower middle class,Myanmar
72,Male,65,Not asked,Lower,Fourth step,Lower middle class,Myanmar
73,Male,18,Not asked,Middle,Fifth step,Working class,Myanmar
74,Female,36,Not asked,Upper,Sixth step,Upper middle class,Myanmar
75,Female,73,Not asked,Lower,Fifth step,Lower middle class,Myanmar
76,Female,40,Not asked,Middle,Sixth step,Working class,Myanmar
77,Female,40,Not asked,Lower,Fifth step,Working class,Myanmar
78,Female,46,Not asked,Lower,Third step,Lower middle class,Myanmar
79,Male,30,Not asked,Lower,Third step,Working class,Myanmar
80,Male,39,Not asked,Upper,Fifth step,Working class,Myanmar
81,Male,51,Not asked,Lower,Seventh step,Lower middle class,Myanmar
82,Female,29,Not asked,Lower,second step,Lower middle class,Myanmar
83,Female,33,Not asked,Lower,Third step,Lower middle class,Myanmar
84,Male,42,Not asked,Lower,Fifth step,Lower middle class,Myanmar
85,Male,63,Not asked,Lower,Sixth step,Lower middle class,Myanmar
86,Female,54,Not asked,Lower,Fifth step,Lower middle class,Myanmar
87,Male,19,Not asked,Lower,Eigth step,Upper middle class,Myanmar
88,Female,32,Not asked,Lower,Sixth step,Working class,Myanmar
89,Female,40,Not asked,Lower,Seventh step,Lower middle class,Myanmar
90,Male,42,Not asked,Lower,Fifth step,Working class,Myanmar
91,Male,32,Not asked,Lower,Fifth step,Working class,Myanmar
92,Male,50,Not asked,Lower,Seventh step,Working class,Myanmar
93,Male,20,Not asked,Middle,Sixth step,Upper middle class,Myanmar
94,Female,29,Not asked,Lower,second step,Working class,Myanmar
95,Female,33,Not asked,Middle,Third step,Lower middle class,Myanmar
96,Male,55,Not asked,Lower,Seventh step,Working class,Myanmar
97,Female,35,Not asked,Lower,Lower step,Working class,Myanmar
98,Male,20,Not asked,Lower,Fifth step,Lower middle class,Myanmar
99,Male,49,Not asked,Lower,Lower step,Working class,Myanmar
0,Male,63,Employer/manager of establishment with less than 10 employed,Upper,Don´t know,Not asked in survey,Netherlands
1,Male,25,Skilled manual,Middle,second step,Not asked in survey,Netherlands
2,Male,40,Supervisory Non manual -office worker,Upper,No answer,Not asked in survey,Netherlands
3,Female,44,Farmer: has own farm,Middle,Fifth step,Not asked in survey,Netherlands
4,Male,36,Professional worker,Upper,Don´t know,Not asked in survey,Netherlands
5,Female,32,Supervisory Non manual -office worker,Middle,Don´t know,Not asked in survey,Netherlands
6,Male,61,Employer/manager of establishment with 10 or more employed,Upper,Don´t know,Not asked in survey,Netherlands
7,Male,62,Professional worker,Upper,Third step,Upper middle class,Netherlands
8,Male,66,Skilled manual,Middle,Fourth step,Lower middle class,Netherlands
9,Male,49,Professional worker,Upper,Tenth step,Upper class,Netherlands
10,Female,33,Supervisory Non manual -office worker,Upper,Don´t know,Upper middle class,Netherlands
11,Male,57,Employer/manager of establishment with less than 10 employed,Lower,second step,Not asked in survey,Netherlands
12,Male,30,Foreman and supervisor,Middle,Fifth step,Lower middle class,Netherlands
13,Male,37,Skilled manual,Middle,Third step,Not asked in survey,Netherlands
14,Male,30,Supervisory Non manual -office worker,Middle,Sixth step,Working class,Netherlands
15,Female,73,Supervisory Non manual -office worker,Upper,Eigth step,Upper middle class,Netherlands
16,Female,49,Skilled manual,Middle,Lower step,Lower class,Netherlands
17,Female,77,Skilled manual,Lower,second step,Not asked in survey,Netherlands
18,Male,35,Professional worker,Middle,Don´t know,Not asked in survey,Netherlands
19,Female,72,Professional worker,Middle,Fourth step,Working class,Netherlands
20,Male,68,Supervisory Non manual -office worker,Middle,Fourth step,Not asked in survey,Netherlands
21,Female,81,Professional worker,Middle,Fifth step,Working class,Netherlands
22,Female,32,Non manual -office worker,Upper,Fifth step,Upper middle class,Netherlands
23,Male,22,Unskilled manual,Upper,second step,Working class,Netherlands
24,Male,47,Skilled manual,Middle,Don´t know,Not asked in survey,Netherlands
25,Male,62,Supervisory Non manual -office worker,Middle,Fourth step,Lower middle class,Netherlands
26,Male,70,Professional worker,Middle,Third step,Lower middle class,Netherlands
27,Male,48,Supervisory Non manual -office worker,Upper,Nineth step,Upper middle class,Netherlands
28,Female,68,Professional worker,Upper,second step,Lower middle class,Netherlands
29,Female,35,Supervisory Non manual -office worker,Middle,second step,Not asked in survey,Netherlands
30,Male,49,Skilled manual,Middle,Fourth step,Lower middle class,Netherlands
31,Male,66,Supervisory Non manual -office worker,Upper,Eigth step,Upper middle class,Netherlands
32,Female,65,Skilled manual,Middle,second step,Lower class,Netherlands
33,Female,46,Never had a job,Lower,No answer,Upper middle class,Netherlands
34,Female,64,Supervisory Non manual -office worker,Upper,Lower step,Lower middle class,Netherlands
35,Male,56,Supervisory Non manual -office worker,Middle,Sixth step,Upper middle class,Netherlands
36,Male,68,Supervisory Non manual -office worker,Middle,Fourth step,Not asked in survey,Netherlands
37,Male,55,Non manual -office worker,Middle,Sixth step,Lower middle class,Netherlands
38,Male,63,Skilled manual,Lower,No answer,Not asked in survey,Netherlands
39,Female,56,Supervisory Non manual -office worker,Middle,Third step,Working class,Netherlands
40,Male,20,Non manual -office worker,Middle,Lower step,Working class,Netherlands
41,Male,16,Unskilled manual,Middle,Lower step,Not asked in survey,Netherlands
42,Male,36,Supervisory Non manual -office worker,Upper,Seventh step,Upper middle class,Netherlands
43,Male,69,Professional worker,Upper,Tenth step,Upper middle class,Netherlands
44,Female,54,Professional worker,Middle,Lower step,Lower class,Netherlands
45,Female,55,Not applicable,Lower,second step,Not asked in survey,Netherlands
46,Female,25,Skilled manual,Middle,Fourth step,Not asked in survey,Netherlands
47,Female,52,Employer/manager of establishment with less than 10 employed,Lower,second step,Working class,Netherlands
48,Male,76,Supervisory Non manual -office worker,Middle,Sixth step,Upper middle class,Netherlands
49,Male,46,Foreman and supervisor,Lower,Third step,Not asked in survey,Netherlands
50,Female,39,Supervisory Non manual -office worker,Middle,Fifth step,Not asked in survey,Netherlands
51,Male,48,Supervisory Non manual -office worker,Middle,Third step,Not asked in survey,Netherlands
52,Male,43,Supervisory Non manual -office worker,Middle,Fifth step,Working class,Netherlands
53,Female,41,Skilled manual,Middle,No answer,Upper middle class,Netherlands
54,Male,70,Employer/manager of establishment with 10 or more employed,Upper,Eigth step,Upper middle class,Netherlands
55,Male,55,Foreman and supervisor,Lower,Fourth step,Not asked in survey,Netherlands
56,Female,53,Skilled manual,Lower,Fourth step,Not asked in survey,Netherlands
57,Male,39,Supervisory Non manual -office worker,Upper,Nineth step,Upper middle class,Netherlands
58,Female,29,Foreman and supervisor,Middle,Don´t know,Not asked in survey,Netherlands
59,Female,74,Never had a job,Lower,Third step,Lower class,Netherlands
60,Male,65,Foreman and supervisor,Middle,Third step,Not asked in survey,Netherlands
61,Male,69,Skilled manual,Lower,Fourth step,Lower middle class,Netherlands
62,Male,49,Supervisory Non manual -office worker,Middle,Fifth step,Lower middle class,Netherlands
63,Female,40,Skilled manual,Middle,Don´t know,Working class,Netherlands
64,Female,64,Professional worker,Upper,second step,Lower class,Netherlands
65,Male,62,Skilled manual,Middle,Third step,Working class,Netherlands
66,Female,24,Employer/manager of establishment with 10 or more employed,Upper,Don´t know,Upper middle class,Netherlands
67,Male,48,Not applicable,Upper,Don´t know,Not asked in survey,Netherlands
68,Female,61,Agricultural worker,Lower,Fourth step,Lower middle class,Netherlands
69,Female,76,Never had a job,Middle,Third step,Working class,Netherlands
70,Female,89,Not applicable,Lower,Lower step,Not asked in survey,Netherlands
71,Female,44,Skilled manual,Middle,Lower step,Not asked in survey,Netherlands
72,Female,19,Never had a job,Middle,Don´t know,Lower middle class,Netherlands
73,Female,81,Unskilled manual,Lower,Lower step,Not asked in survey,Netherlands
74,Male,44,Foreman and supervisor,Middle,Fifth step,Lower middle class,Netherlands
75,Female,39,Non manual -office worker,Upper,second step,Lower middle class,Netherlands
76,Female,58,Foreman and supervisor,Lower,second step,Not asked in survey,Netherlands
77,Female,42,Skilled manual,Middle,second step,Working class,Netherlands
78,Male,18,Unskilled manual,Lower,Don´t know,Not asked in survey,Netherlands
79,Female,75,Supervisory Non manual -office worker,Middle,No answer,Upper middle class,Netherlands
80,Female,39,Supervisory Non manual -office worker,Upper,Third step,Working class,Netherlands
81,Male,58,Employer/manager of establishment with less than 10 employed,Middle,Sixth step,Upper middle class,Netherlands
82,Female,35,Employer/manager of establishment with 10 or more employed,Upper,Sixth step,Upper middle class,Netherlands
83,Female,37,Supervisory Non manual -office worker,Upper,Nineth step,Upper middle class,Netherlands
84,Male,59,Supervisory Non manual -office worker,Middle,Lower step,Lower class,Netherlands
85,Male,63,Professional worker,Upper,Tenth step,Upper class,Netherlands
86,Male,62,Supervisory Non manual -office worker,Upper,Fifth step,Not asked in survey,Netherlands
87,Female,39,Employer/manager of establishment with 10 or more employed,Upper,Tenth step,Upper class,Netherlands
88,Male,15,Not applicable,Middle,Don´t know,Not asked in survey,Netherlands
89,Female,61,Skilled manual,Middle,Fifth step,Upper middle class,Netherlands
90,Male,71,Employer/manager of establishment with less than 10 employed,Middle,Fourth step,Upper middle class,Netherlands
91,Male,68,Supervisory Non manual -office worker,Middle,Fourth step,Not asked in survey,Netherlands
92,Female,55,Supervisory Non manual -office worker,Upper,Nineth step,Not asked in survey,Netherlands
93,Male,21,Unskilled manual,Upper,Eigth step,Not asked in survey,Netherlands
94,Male,39,Non manual -office worker,Upper,Lower step,Not asked in survey,Netherlands
95,Female,24,Employer/manager of establishment with 10 or more employed,Upper,Don´t know,Upper middle class,Netherlands
96,Male,49,Never had a job,Middle,Lower step,Lower class,Netherlands
97,Female,26,Supervisory Non manual -office worker,Upper,Seventh step,Lower middle class,Netherlands
98,Female,39,Skilled manual,Middle,Fifth step,Not asked in survey,Netherlands
99,Female,48,Unskilled manual,Lower,second step,Not asked in survey,Netherlands
0,Male,41,Not asked,Upper,Tenth step,Upper middle class,New Zealand
1,Female,53,Not asked,Lower,Lower step,Lower middle class,New Zealand
2,Female,36,Non manual -office worker,Middle,Don´t know,Upper middle class,New Zealand
3,Female,45,Professional worker,Upper,Seventh step,Working class,New Zealand
4,Female,54,No answer,Upper,second step,Upper middle class,New Zealand
5,Female,54,Not asked,Middle,Eigth step,Lower middle class,New Zealand
6,Female,35,Not asked,Middle,Seventh step,Upper middle class,New Zealand
7,Male,40,Not asked,Upper,Eigth step,Lower middle class,New Zealand
8,Male,67,Employer/manager of establishment with 10 or more employed,Upper,second step,Don´t know,New Zealand
9,Male,72,Not asked,Upper,Sixth step,Upper middle class,New Zealand
10,Male,19,Foreman and supervisor,Middle,Fifth step,Working class,New Zealand
11,Male,63,Not asked,Middle,Fifth step,Working class,New Zealand
12,Female,50,Professional worker,Upper,No answer,Don´t know,New Zealand
13,Male,39,Professional worker,Upper,Tenth step,Upper middle class,New Zealand
14,Female,49,Employer/manager of establishment with less than 10 employed,Middle,Sixth step,Working class,New Zealand
15,Female,56,Not asked,Upper,Seventh step,Working class,New Zealand
16,Male,61,Not asked,Middle,Eigth step,Working class,New Zealand
17,Male,55,Not asked,Middle,Eigth step,Lower middle class,New Zealand
18,Male,63,Not asked,Upper,Seventh step,Upper class,New Zealand
19,Male,43,Not asked,Middle,Seventh step,Lower middle class,New Zealand
20,Female,30,Not asked,No answer,Seventh step,Upper middle class,New Zealand
21,Female,22,Not asked,Middle,Fourth step,Working class,New Zealand
22,Female,62,Not asked,Lower,Missing; Unknown,Don´t know,New Zealand
23,Male,41,Skilled manual,Lower,second step,Working class,New Zealand
24,Male,81,Member of armed forces,Middle,second step,Lower middle class,New Zealand
25,Male,55,Not asked,Middle,Tenth step,Upper middle class,New Zealand
26,Male,25,Foreman and supervisor,Upper,Fourth step,Working class,New Zealand
27,Male,35,Employer/manager of establishment with 10 or more employed,Upper,Nineth step,Upper middle class,New Zealand
28,Male,67,Employer/manager of establishment with 10 or more employed,Middle,Third step,Don´t know,New Zealand
29,Female,43,Unskilled manual,Lower,Lower step,Don´t know,New Zealand
30,Female,40,Supervisory Non manual -office worker,Upper,Eigth step,Upper middle class,New Zealand
31,Female,49,Professional worker,Upper,Sixth step,Lower middle class,New Zealand
32,Female,50,Professional worker,Upper,Tenth step,Upper middle class,New Zealand
33,Male,46,Employer/manager of establishment with less than 10 employed,Middle,Tenth step,Lower middle class,New Zealand
34,Male,25,Not asked,Upper,Lower step,Lower class,New Zealand
35,Female,61,Not asked,Middle,Eigth step,Working class,New Zealand
36,Female,57,Non manual -office worker,Upper,Tenth step,Upper class,New Zealand
37,Female,57,Not asked,Upper,Nineth step,Lower middle class,New Zealand
38,Male,49,Employer/manager of establishment with 10 or more employed,Upper,Tenth step,Upper middle class,New Zealand
39,Male,71,Skilled manual,Middle,Fifth step,Working class,New Zealand
40,Female,66,Not asked,Middle,Lower step,Don´t know,New Zealand
41,Female,61,Not asked,Upper,Nineth step,Upper middle class,New Zealand
42,Female,34,Professional worker,Upper,Fourth step,Lower middle class,New Zealand
43,Male,75,Not asked,Upper,Lower step,Working class,New Zealand
44,Female,67,Not asked,Upper,Third step,Lower middle class,New Zealand
45,Female,41,Not asked,Upper,Eigth step,Upper middle class,New Zealand
46,Male,59,Professional worker,Upper,Seventh step,Don´t know,New Zealand
47,Male,83,Foreman and supervisor,Middle,No answer,Working class,New Zealand
48,Female,18,Not asked,Middle,Seventh step,Don´t know,New Zealand
49,Female,73,Not asked,Lower,Missing; Unknown,Lower middle class,New Zealand
50,Female,40,Non manual -office worker,Middle,Tenth step,Working class,New Zealand
51,Male,77,Not asked,Lower,second step,Working class,New Zealand
52,Male,40,Professional worker,Upper,Eigth step,Upper middle class,New Zealand
53,Male,49,Unskilled manual,Middle,Sixth step,Working class,New Zealand
54,Female,67,Not asked,Middle,Lower step,Working class,New Zealand
55,Male,26,Not asked,Upper,Tenth step,Upper class,New Zealand
56,Female,68,Not asked,Middle,Fifth step,Lower middle class,New Zealand
57,Female,26,Not asked,Upper,Seventh step,Working class,New Zealand
58,Male,75,Not asked,Middle,second step,Working class,New Zealand
59,Female,37,Employer/manager of establishment with less than 10 employed,Upper,Fifth step,Working class,New Zealand
60,Male,55,Skilled manual,Middle,Fourth step,Working class,New Zealand
61,Male,57,Employer/manager of establishment with 10 or more employed,Middle,Fifth step,Working class,New Zealand
62,Male,51,Employer/manager of establishment with 10 or more employed,Middle,Seventh step,Lower middle class,New Zealand
63,Male,66,Supervisory Non manual -office worker,Middle,Fourth step,Lower middle class,New Zealand
64,Male,45,Professional worker,Middle,Nineth step,Lower middle class,New Zealand
